YEAR,WEEK,Date,State,%UNWEIGHTED ILI
2010,40,10/3/2010,MA,0.604621
2010,41,10/10/2010,MA,0.887866
2010,42,10/17/2010,MA,0.744806
2010,43,10/24/2010,MA,0.783721
2010,44,10/31/2010,MA,0.812421
2010,45,11/7/2010,MA,0.732931
2010,46,11/14/2010,MA,0.803486
2010,47,11/21/2010,MA,0.958095
2010,48,11/28/2010,MA,0.903185
2010,49,12/5/2010,MA,0.96749
2010,50,12/12/2010,MA,1.12005
2010,51,12/19/2010,MA,1.30649
2010,52,12/26/2010,MA,1.4601
2011,1,1/2/2011,MA,1.17914
2011,2,1/9/2011,MA,1.69167
2011,3,1/16/2011,MA,1.52558
2011,4,1/23/2011,MA,1.86385
2011,5,1/30/2011,MA,2.37127
2011,6,2/6/2011,MA,2.33142
2011,7,2/13/2011,MA,2.65215
2011,8,2/20/2011,MA,2.45628
2011,9,2/27/2011,MA,1.93807
2011,10,3/6/2011,MA,2.04345
2011,11,3/13/2011,MA,1.7797
2011,12,3/20/2011,MA,1.51078
2011,13,3/27/2011,MA,1.5324
2011,14,4/3/2011,MA,1.39126
2011,15,4/10/2011,MA,1.28155
2011,16,4/17/2011,MA,1.25237
2011,17,4/24/2011,MA,0.991172
2011,18,5/1/2011,MA,0.912764
2011,19,5/8/2011,MA,0.750159
2011,20,5/15/2011,MA,0.812329
2011,21,5/22/2011,MA,0.954948
2011,22,5/29/2011,MA,0.914855
2011,23,6/5/2011,MA,0.875651
2011,24,6/12/2011,MA,0.940344
2011,25,6/19/2011,MA,0.814392
2011,26,6/26/2011,MA,0.74462
2011,27,7/3/2011,MA,0.771683
2011,28,7/10/2011,MA,0.75144
2011,29,7/17/2011,MA,0.742563
2011,30,7/24/2011,MA,0.708665
2011,31,7/31/2011,MA,0.651452
2011,32,8/7/2011,MA,0.679427
2011,33,8/14/2011,MA,0.607253
2011,34,8/21/2011,MA,0.601852
2011,35,8/28/2011,MA,0.620629
2011,36,9/4/2011,MA,0.578256
2011,37,9/11/2011,MA,0.637241
2011,38,9/18/2011,MA,0.667404
2011,39,9/25/2011,MA,0.837664
2011,40,10/2/2011,MA,0.66041
2011,41,10/9/2011,MA,1.1542
2011,42,10/16/2011,MA,0.933121
2011,43,10/23/2011,MA,1.02051
2011,44,10/30/2011,MA,1.04637
2011,45,11/6/2011,MA,1.00595
2011,46,11/13/2011,MA,0.861159
2011,47,11/20/2011,MA,1.0905
2011,48,11/27/2011,MA,0.863095
2011,49,12/4/2011,MA,0.834838
2011,50,12/11/2011,MA,1.02838
2011,51,12/18/2011,MA,1.28386
2011,52,12/25/2011,MA,1.42879
2012,1,1/1/2012,MA,1.21609
2012,2,1/8/2012,MA,1.1987
2012,3,1/15/2012,MA,1.26084
2012,4,1/22/2012,MA,1.18723
2012,5,1/29/2012,MA,1.14915
2012,6,2/5/2012,MA,1.11612
2012,7,2/12/2012,MA,1.13318
2012,8,2/19/2012,MA,1.33153
2012,9,2/26/2012,MA,1.07928
2012,10,3/4/2012,MA,0.949091
2012,11,3/11/2012,MA,1.14416
2012,12,3/18/2012,MA,1.22723
2012,13,3/25/2012,MA,0.727152
2012,14,4/1/2012,MA,1.08321
2012,15,4/8/2012,MA,1.04011
2012,16,4/15/2012,MA,1.11602
2012,17,4/22/2012,MA,0.858855
2012,18,4/29/2012,MA,0.677064
2012,19,5/6/2012,MA,0.845924
2012,20,5/13/2012,MA,0.76155
2012,21,5/20/2012,MA,0.787836
2012,22,5/27/2012,MA,0.757944
2012,23,6/3/2012,MA,0.665867
2012,24,6/10/2012,MA,0.704399
2012,25,6/17/2012,MA,0.714846
2012,26,6/24/2012,MA,0.709729
2012,27,7/1/2012,MA,0.810509
