YEAR,WEEK,Sunday
2000,1,1/2/2000
2000,2,1/9/2000
2000,3,1/16/2000
2000,4,1/23/2000
2000,5,1/30/2000
2000,6,2/6/2000
2000,7,2/13/2000
2000,8,2/20/2000
2000,9,2/27/2000
2000,10,3/5/2000
2000,11,3/12/2000
2000,12,3/19/2000
2000,13,3/26/2000
2000,14,4/2/2000
2000,15,4/9/2000
2000,16,4/16/2000
2000,17,4/23/2000
2000,18,4/30/2000
2000,19,5/7/2000
2000,20,5/14/2000
2000,21,5/21/2000
2000,22,5/28/2000
2000,23,6/4/2000
2000,24,6/11/2000
2000,25,6/18/2000
2000,26,6/25/2000
2000,27,7/2/2000
2000,28,7/9/2000
2000,29,7/16/2000
2000,30,7/23/2000
2000,31,7/30/2000
2000,32,8/6/2000
2000,33,8/13/2000
2000,34,8/20/2000
2000,35,8/27/2000
2000,36,9/3/2000
2000,37,9/10/2000
2000,38,9/17/2000
2000,39,9/24/2000
2000,40,10/1/2000
2000,41,10/8/2000
2000,42,10/15/2000
2000,43,10/22/2000
2000,44,10/29/2000
2000,45,11/5/2000
2000,46,11/12/2000
2000,47,11/19/2000
2000,48,11/26/2000
2000,49,12/3/2000
2000,50,12/10/2000
2000,51,12/17/2000
2000,52,12/24/2000
2001,1,12/31/2000
2001,2,1/7/2001
2001,3,1/14/2001
2001,4,1/21/2001
2001,5,1/28/2001
2001,6,2/4/2001
2001,7,2/11/2001
2001,8,2/18/2001
2001,9,2/25/2001
2001,10,3/4/2001
2001,11,3/11/2001
2001,12,3/18/2001
2001,13,3/25/2001
2001,14,4/1/2001
2001,15,4/8/2001
2001,16,4/15/2001
2001,17,4/22/2001
2001,18,4/29/2001
2001,19,5/6/2001
2001,20,5/13/2001
2001,21,5/20/2001
2001,22,5/27/2001
2001,23,6/3/2001
2001,24,6/10/2001
2001,25,6/17/2001
2001,26,6/24/2001
2001,27,7/1/2001
2001,28,7/8/2001
2001,29,7/15/2001
2001,30,7/22/2001
2001,31,7/29/2001
2001,32,8/5/2001
2001,33,8/12/2001
2001,34,8/19/2001
2001,35,8/26/2001
2001,36,9/2/2001
2001,37,9/9/2001
2001,38,9/16/2001
2001,39,9/23/2001
2001,40,9/30/2001
2001,41,10/7/2001
2001,42,10/14/2001
2001,43,10/21/2001
2001,44,10/28/2001
2001,45,11/4/2001
2001,46,11/11/2001
2001,47,11/18/2001
2001,48,11/25/2001
2001,49,12/2/2001
2001,50,12/9/2001
2001,51,12/16/2001
2001,52,12/23/2001
2002,1,12/30/2001
2002,2,1/6/2002
2002,3,1/13/2002
2002,4,1/20/2002
2002,5,1/27/2002
2002,6,2/3/2002
2002,7,2/10/2002
2002,8,2/17/2002
2002,9,2/24/2002
2002,10,3/3/2002
2002,11,3/10/2002
2002,12,3/17/2002
2002,13,3/24/2002
2002,14,3/31/2002
2002,15,4/7/2002
2002,16,4/14/2002
2002,17,4/21/2002
2002,18,4/28/2002
2002,19,5/5/2002
2002,20,5/12/2002
2002,21,5/19/2002
2002,22,5/26/2002
2002,23,6/2/2002
2002,24,6/9/2002
2002,25,6/16/2002
2002,26,6/23/2002
2002,27,6/30/2002
2002,28,7/7/2002
2002,29,7/14/2002
2002,30,7/21/2002
2002,31,7/28/2002
2002,32,8/4/2002
2002,33,8/11/2002
2002,34,8/18/2002
2002,35,8/25/2002
2002,36,9/1/2002
2002,37,9/8/2002
2002,38,9/15/2002
2002,39,9/22/2002
2002,40,9/29/2002
2002,41,10/6/2002
2002,42,10/13/2002
2002,43,10/20/2002
2002,44,10/27/2002
2002,45,11/3/2002
2002,46,11/10/2002
2002,47,11/17/2002
